County,Year,Total,Felony Total,Drug Felony,Violent Felony,DWI Felony,Other Felony,Misdemeanor Total,Drug Misd,DWI Misd,Property Misd,Other Misd
Seneca,2007,736,158,17,29,28,84,578,30,112,144,292
Seneca,2008,832,246,24,43,33,146,586,20,138,174,254
Seneca,2009,811,201,18,34,28,121,610,26,153,121,310
Seneca,2010,750,196,14,36,31,115,554,28,106,132,288
Seneca,2011,823,243,27,45,28,143,580,36,108,180,256
Seneca,2012,864,282,35,59,30,158,582,41,135,179,227
Seneca,2013,797,254,55,46,27,126,543,31,134,153,225
Seneca,2014,858,246,45,43,31,127,612,51,136,197,228
Seneca,2015,746,235,29,32,40,134,511,40,124,169,178
Seneca,2016,825,280,58,37,41,144,545,58,124,170,193
Seneca,2017,774,239,32,39,28,140,535,52,109,199,175
Steuben,1970,284,110,20,18,5,67,174,56,38,24,56
Steuben,1971,496,142,29,22,0,91,354,107,96,66,85
Steuben,1972,896,191,28,19,5,139,705,64,186,142,313
Steuben,1973,928,240,29,30,4,177,688,107,89,208,284
Steuben,1974,800,254,30,35,4,185,546,105,46,179,216
Steuben,1975,838,273,35,39,4,195,565,72,95,188,210
Steuben,1976,871,233,25,28,12,168,638,69,134,191,244
Steuben,1977,960,277,23,43,12,199,683,24,171,201,287
Steuben,1978,1033,288,15,30,23,220,745,20,169,237,319
Steuben,1979,1135,303,18,52,16,217,832,18,249,269,296
Steuben,1980,1107,259,11,56,18,174,848,12,262,274,300
Steuben,1981,1194,232,13,50,22,147,962,15,290,335,322
Steuben,1982,1225,227,7,62,22,136,998,5,369,286,338
Steuben,1983,1311,267,15,79,34,139,1044,13,314,383,334
Steuben,1984,1317,258,3,72,37,146,1059,9,361,363,326
Steuben,1985,1411,296,7,66,40,183,1115,16,366,349,384
Steuben,1986,1515,330,17,67,56,190,1185,21,446,312,406
Steuben,1987,1528,348,16,83,55,194,1180,28,403,349,400
Steuben,1988,1606,308,12,90,55,151,1298,21,416,431,430
Steuben,1989,1897,425,34,87,81,223,1472,64,431,410,567
Steuben,1990,2069,389,17,98,106,168,1680,29,545,509,597
Steuben,1991,2248,491,41,115,105,230,1757,23,526,563,645
Steuben,1992,1975,424,47,98,73,206,1551,44,471,491,545
Steuben,1993,1882,456,36,108,67,245,1426,41,390,434,561
Steuben,1994,1926,442,30,113,78,221,1484,42,356,502,584
Steuben,1995,1957,463,31,129,81,222,1494,37,365,459,633
Steuben,1996,2081,522,34,115,110,263,1559,24,387,419,729
Steuben,1997,2275,547,66,110,95,276,1728,46,445,437,800
Steuben,1998,2502,640,73,128,123,316,1862,42,477,481,862
Steuben,1999,2660,612,72,116,135,289,2048,42,454,456,1096
Steuben,2000,2556,584,48,94,105,337,1972,38,539,449,946
Steuben,2001,2421,548,48,117,97,286,1873,33,504,421,915
Steuben,2002,2185,529,24,92,100,313,1656,37,447,357,815
Steuben,2003,2168,564,48,103,86,327,1604,57,370,423,754
Steuben,2004,2083,589,65,119,84,321,1494,73,387,336,698
Steuben,2005,2389,703,151,119,70,363,1686,74,442,393,777
Steuben,2006,2154,623,95,135,85,308,1531,57,419,295,760
Steuben,2007,2279,664,99,125,103,337,1615,50,481,322,762
Steuben,2008,2129,608,56,111,86,355,1521,54,413,351,703
Steuben,2009,1936,547,84,103,66,294,1389,70,312,404,603
Steuben,2010,1911,535,67,124,78,266,1376,93,307,421,555
Steuben,2011,1827,558,77,127,91,263,1269,77,313,359,520
Steuben,2012,1960,663,107,134,71,351,1297,77,271,398,551
Steuben,2013,2005,662,143,111,63,345,1343,114,313,423,493
Steuben,2014,1884,527,83,94,66,284,1357,153,289,446,469
Steuben,2015,2232,674,123,106,75,370,1558,182,312,500,564
Steuben,2016,2024,667,126,115,83,343,1357,141,300,379,537
Steuben,2017,1928,664,149,127,58,330,1264,191,258,348,467
Suffolk,1970,5074,2886,680,657,13,1536,2188,835,661,156,536
Suffolk,1971,8230,3417,744,837,40,1796,4813,1243,1610,856,1104
Suffolk,1972,11993,3413,861,803,44,1705,8580,1486,2788,2282,2024
Suffolk,1973,13866,3649,917,997,31,1704,10217,1432,3641,2472,2672
Suffolk,1974,15191,4110,978,1068,35,2029,11081,1033,3985,3323,2740
Suffolk,1975,15457,4511,742,1205,31,2533,10946,842,3810,3387,2907
Suffolk,1976,15647,5188,724,1421,40,3003,10459,755,3026,3764,2914
Suffolk,1977,16064,5064,609,1329,38,3088,11000,532,3388,3884,3196
Suffolk,1978,17526,5110,364,1474,60,3212,12416,570,5165,3602,3079
Suffolk,1979,17791,5511,345,1554,36,3576,12280,425,4846,3885,3124
Suffolk,1980,19000,5942,422,1719,62,3739,13058,541,5723,3706,3088
Suffolk,1981,18936,5599,502,1791,82,3224,13337,584,6347,3491,2915
Suffolk,1982,21337,5756,457,2144,233,2922,15581,851,8356,3369,3005
Suffolk,1983,21617,5675,557,1914,319,2885,15942,1116,8504,3196,3126
Suffolk,1984,21321,5338,409,2020,117,2792,15983,1407,8471,2931,3174
Suffolk,1985,22202,5273,525,1885,80,2783,16929,1515,9035,2914,3465
Suffolk,1986,21689,5321,567,1808,86,2860,16368,1884,7970,3063,3451
Suffolk,1987,23438,5406,867,1844,94,2601,18032,1955,8483,3786,3808
Suffolk,1988,26249,6420,1293,2043,111,2973,19829,2853,7837,4519,4620
Suffolk,1989,26721,7700,2360,2258,103,2979,19021,2606,6265,4579,5571
Suffolk,1990,24551,6867,1643,2059,108,3057,17684,1727,6100,4135,5722
Suffolk,1991,21442,6424,1346,2103,93,2882,15018,1182,4746,4021,5069
Suffolk,1992,20739,6364,1253,2162,146,2803,14375,1233,4458,3492,5192
Suffolk,1993,18932,6000,1231,1886,194,2689,12932,1249,4220,2563,4900
Suffolk,1994,21649,7050,1336,1887,302,3525,14599,1780,4588,2638,5593
Suffolk,1995,22311,7108,1252,1811,441,3604,15203,2117,4485,2759,5842
Suffolk,1996,24093,6938,1172,1796,500,3470,17155,2409,5301,2905,6540
Suffolk,1997,25361,7440,1079,1775,575,4011,17921,2516,5372,3399,6634
Suffolk,1998,25641,7547,1242,1782,562,3961,18094,2596,5058,3570,6870
Suffolk,1999,24313,6969,1241,1638,543,3547,17344,3080,4098,3801,6365
Suffolk,2000,25191,7144,1015,1757,529,3843,18047,3013,3967,3539,7528
Suffolk,2001,23956,6954,768,1721,508,3957,17002,2741,3521,3508,7232
Suffolk,2002,25851,7262,982,1647,556,4077,18589,3364,4007,3589,7629
Suffolk,2003,26101,7397,1022,1590,520,4265,18704,3922,4259,3602,6921
Suffolk,2004,24687,6942,1192,1633,483,3634,17745,3833,3917,3449,6546
Suffolk,2005,24613,7029,1360,1600,477,3592,17584,3514,4166,3500,6404
Suffolk,2006,26359,7527,1424,1777,499,3827,18832,4319,4392,3197,6924
Suffolk,2007,25253,7327,1433,1594,524,3776,17926,4087,4149,3167,6523
Suffolk,2008,25158,6646,1022,1496,510,3618,18512,3790,3857,4794,6071
Suffolk,2009,25523,6785,965,1581,543,3696,18738,3513,3818,5364,6043
Suffolk,2010,25515,6295,904,1386,582,3423,19220,4391,3473,5355,6001
Suffolk,2011,26015,6248,923,1293,603,3429,19767,4723,3920,5200,5924
Suffolk,2012,26224,6006,727,1314,615,3350,20218,5314,3943,5104,5857
Suffolk,2013,23920,5666,723,1248,543,3152,18254,4403,3585,4997,5269
Suffolk,2014,23230,5561,765,1195,511,3090,17669,4572,3110,5093,4894
Suffolk,2015,22475,5324,787,1075,565,2897,17151,4446,3203,4656,4846
Suffolk,2016,20714,5034,792,1025,488,2729,15680,3951,3099,4308,4322
Suffolk,2017,20990,5193,909,945,511,2828,15797,4457,2768,3962,4610
Sullivan,1970,607,339,62,83,1,193,268,111,26,34,97
Sullivan,1971,789,379,72,60,7,240,410,82,31,122,175
Sullivan,1972,1256,391,72,81,6,232,865,115,234,250,266
Sullivan,1973,1625,460,81,115,5,259,1165,132,379,375,279
Sullivan,1974,1778,515,66,115,10,324,1263,142,344,458,319
Sullivan,1975,1847,557,75,118,13,351,1290,82,340,523,345
Sullivan,1976,2289,768,56,184,15,513,1521,98,300,629,494
Sullivan,1977,2094,550,58,170,17,305,1544,77,356,621,490
Sullivan,1978,2255,565,31,191,29,314,1690,47,370,683,590
Sullivan,1979,2407,602,48,159,30,365,1805,85,328,838,554
Sullivan,1980,2492,645,57,187,44,357,1847,80,444,794,529
Sullivan,1981,2407,671,55,210,37,369,1736,100,481,660,495
Sullivan,1982,2629,618,52,198,51,317,2011,101,571,809,530
Sullivan,1983,2606,640,31,216,49,344,1966,65,754,665,482
Sullivan,1984,2484,616,53,200,48,315,1868,103,658,564,543
Sullivan,1985,2095,505,19,199,27,260,1590,78,530,503,479
Sullivan,1986,2185,637,43,245,47,302,1548,70,492,519,467
Sullivan,1987,2608,713,82,232,78,321,1895,111,555,664,565
Sullivan,1988,3028,875,161,288,82,344,2153,268,587,705,593
Sullivan,1989,3162,866,180,262,92,332,2296,151,649,756,740
Sullivan,1990,3001,764,104,224,87,349,2237,124,583,695,835
Sullivan,1991,3007,797,136,269,53,339,2210,128,548,703,831
Sullivan,1992,2653,782,136,250,57,339,1871,118,441,557,755
Sullivan,1993,2642,789,89,284,57,359,1853,107,383,543,820
Sullivan,1994,2713,832,87,323,70,352,1881,109,399,548,825
Sullivan,1995,2361,711,58,251,54,348,1650,91,338,477,744
Sullivan,1996,2169,636,63,216,47,310,1533,86,295,446,706
Sullivan,1997,2290,694,78,224,54,338,1596,99,301,478,718
Sullivan,1998,2089,598,77,183,48,290,1491,97,325,438,631
Sullivan,1999,2160,584,68,167,42,307,1576,127,297,420,732
Sullivan,2000,2296,693,130,185,58,320,1603,149,337,372,745
Sullivan,2001,2261,622,109,145,63,305,1639,154,354,364,767
Sullivan,2002,2145,638,94,183,51,310,1507,140,310,390,667
Sullivan,2003,2230,687,125,169,41,352,1543,176,304,339,724
Sullivan,2004,2321,716,112,186,58,360,1605,171,363,413,658
Sullivan,2005,2486,788,140,207,84,357,1698,179,308,511,700
Sullivan,2006,2160,748,141,181,57,369,1412,203,321,312,576
Sullivan,2007,2406,738,115,170,74,379,1668,222,305,383,758
Sullivan,2008,2289,710,96,162,62,390,1579,206,330,380,663
Sullivan,2009,2197,636,68,192,79,297,1561,189,362,341,669
Sullivan,2010,2522,726,66,184,88,388,1796,242,433,473,648
Sullivan,2011,2463,697,95,160,68,374,1766,306,337,540,583
Sullivan,2012,2360,697,76,201,66,354,1663,333,259,565,506
Sullivan,2013,2195,671,86,155,47,383,1524,255,230,492,547
Sullivan,2014,2179,606,81,122,41,362,1573,316,270,475,512
Sullivan,2015,1919,523,82,109,43,289,1396,267,292,394,443
Sullivan,2016,1834,520,74,123,61,262,1314,256,254,369,435
Sullivan,2017,1981,538,78,109,63,288,1443,337,325,342,439
Tioga,1970,66,46,11,6,0,29,20,5,3,0,12
Tioga,1971,75,30,7,3,0,20,45,6,6,19,14
Tioga,1972,168,46,11,2,0,33,122,15,37,18,52
Tioga,1973,383,75,17,10,1,47,308,146,44,37,81
Tioga,1974,480,91,21,4,4,62,389,86,77,86,140
Tioga,1975,518,110,36,12,4,58,408,66,73,85,184
Tioga,1976,478,84,18,17,1,48,394,89,112,56,137
Tioga,1977,611,117,5,17,8,87,494,54,131,138,171
Tioga,1978,476,83,1,18,7,57,393,7,130,137,119
Tioga,1979,638,85,4,13,15,53,553,15,202,144,192
Tioga,1980,660,125,12,18,32,63,535,6,175,130,224
Tioga,1981,685,119,9,23,17,70,566,19,213,148,186
Tioga,1982,797,173,13,36,30,94,624,21,247,150,206
Tioga,1983,780,155,7,20,34,94,625,14,240,153,218
Tioga,1984,744,104,0,23,36,45,640,11,288,147,194
Tioga,1985,772,142,6,25,37,74,630,13,252,173,192
Tioga,1986,875,186,17,40,41,88,689,20,234,160,275
Tioga,1987,834,168,13,39,42,74,666,8,240,152,266
Tioga,1988,1003,201,9,40,65,87,802,18,309,159,316
Tioga,1989,975,198,15,50,29,104,777,27,254,177,319
Tioga,1990,1031,205,15,37,42,111,826,11,228,198,389
Tioga,1991,1080,257,15,54,42,146,823,9,242,186,386
Tioga,1992,1049,248,18,43,35,152,801,12,236,180,373
Tioga,1993,1083,208,17,30,49,112,875,25,245,175,430
Tioga,1994,1034,211,6,37,36,132,823,25,184,183,431
Tioga,1995,974,181,12,33,43,93,793,9,185,187,412
Tioga,1996,1154,241,22,42,34,143,913,29,184,171,529
Tioga,1997,1153,236,14,46,58,118,917,18,181,203,515
Tioga,1998,1298,263,12,31,79,141,1035,29,261,192,553
Tioga,1999,1074,209,21,40,35,113,865,18,237,161,449
Tioga,2000,948,202,11,40,44,107,746,7,167,195,377
Tioga,2001,946,211,15,31,49,116,735,15,250,152,318
Tioga,2002,945,227,9,46,43,129,718,30,195,142,351
Tioga,2003,913,194,22,37,28,107,719,25,203,135,356
Tioga,2004,864,214,14,48,37,115,650,30,175,141,304
Tioga,2005,791,222,13,51,38,120,569,29,131,94,315
Tioga,2006,813,222,30,38,34,120,591,23,113,139,316
Tioga,2007,857,226,14,56,34,122,631,34,156,146,295
Tioga,2008,842,227,13,52,33,129,615,18,146,144,307
Tioga,2009,876,233,15,53,44,121,643,31,163,148,301
Tioga,2010,896,250,29,59,26,136,646,46,159,129,312
Tioga,2011,815,207,25,41,39,102,608,56,131,144,277
Tioga,2012,715,176,22,29,30,95,539,50,97,133,259
Tioga,2013,806,220,27,44,28,121,586,59,115,141,271
Tioga,2014,690,195,41,41,23,90,495,61,116,115,203
Tioga,2015,695,192,37,29,25,101,503,71,105,102,225
Tioga,2016,717,203,21,51,27,104,514,64,120,114,216
Tioga,2017,763,226,34,38,25,129,537,110,112,113,202
Tompkins,1970,139,86,20,8,4,54,53,24,1,11,17
Tompkins,1971,400,144,31,20,3,90,256,25,45,137,49
Tompkins,1972,1009,193,26,34,5,128,816,78,212,296,230
Tompkins,1973,1256,193,56,34,4,99,1063,167,201,453,242
Tompkins,1974,1309,275,82,31,6,156,1034,148,203,439,244
Tompkins,1975,1321,234,40,40,2,152,1087,101,198,531,257
Tompkins,1976,1464,266,47,52,9,158,1198,80,291,503,324
Tompkins,1977,1355,250,29,35,10,176,1105,37,359,448,261
Tompkins,1978,1221,216,7,24,11,174,1005,12,320,401,272
Tompkins,1979,1455,273,5,44,11,213,1182,22,354,474,332
Tompkins,1980,1368,253,13,48,9,183,1115,24,285,464,342
Tompkins,1981,1385,270,25,63,8,174,1115,14,358,460,283
Tompkins,1982,1640,297,14,81,15,187,1343,16,558,474,295
Tompkins,1983,1578,268,15,68,20,165,1310,16,450,456,388
Tompkins,1984,1455,242,12,66,7,157,1213,7,417,444,345
Tompkins,1985,1756,292,22,95,5,170,1464,18,383,659,404
Tompkins,1986,1695,301,20,84,10,187,1394,24,384,593,393
Tompkins,1987,1950,399,33,123,13,230,1551,22,416,697,416
Tompkins,1988,1992,373,42,99,26,206,1619,48,430,620,521
Tompkins,1989,2047,382,36,93,31,222,1665,39,463,653,510
Tompkins,1990,2149,348,28,95,23,202,1801,49,427,724,601
Tompkins,1991,2360,430,41,120,34,235,1930,37,461,739,693
Tompkins,1992,2082,408,22,128,30,228,1674,39,436,606,593
Tompkins,1993,2134,420,48,121,31,220,1714,45,340,717,612
Tompkins,1994,2231,388,44,88,18,238,1843,113,287,693,750
Tompkins,1995,2194,437,64,101,37,235,1757,59,349,658,691
Tompkins,1996,2271,428,52,90,44,242,1843,59,321,623,840
Tompkins,1997,2233,415,56,91,46,222,1818,104,303,602,809
Tompkins,1998,2055,356,43,80,34,199,1699,88,370,502,739
Tompkins,1999,2019,349,32,104,37,176,1670,78,391,428,773
Tompkins,2000,1957,364,35,74,37,218,1593,77,354,419,743
Tompkins,2001,1876,294,20,80,32,162,1582,61,353,478,690
Tompkins,2002,1844,313,45,63,27,178,1531,72,288,462,709
Tompkins,2003,1665,301,32,78,32,159,1364,53,294,414,603
Tompkins,2004,1494,292,25,59,43,165,1202,50,320,345,487
Tompkins,2005,1615,348,44,79,28,197,1267,55,303,373,536
Tompkins,2006,1577,343,45,97,43,158,1234,71,274,383,506
Tompkins,2007,1627,390,40,72,58,220,1237,67,287,398,485
Tompkins,2008,1729,415,36,111,61,207,1314,64,321,402,527
Tompkins,2009,1657,379,35,95,44,205,1278,62,302,480,434
Tompkins,2010,1613,348,26,87,47,188,1265,67,289,493,416
Tompkins,2011,1604,368,32,79,46,211,1236,87,256,467,426
Tompkins,2012,1775,389,25,80,49,235,1386,87,376,544,379
Tompkins,2013,1667,389,32,95,42,220,1278,77,261,548,392
Tompkins,2014,1755,416,45,89,44,238,1339,80,313,599,347
Tompkins,2015,1669,390,60,72,46,212,1279,114,262,519,384
Tompkins,2016,1554,389,68,89,41,191,1165,145,263,410,347
Tompkins,2017,1343,309,44,71,29,165,1034,99,177,449,309
Ulster,1970,759,408,93,60,2,253,351,217,1,44,89
Ulster,1971,927,398,100,79,2,217,529,240,12,131,146
Ulster,1972,1404,445,92,58,5,290,959,208,143,333,275
Ulster,1973,1684,527,138,86,7,296,1157,222,267,299,369
Ulster,1974,1955,596,129,110,5,352,1359,192,373,399,395
Ulster,1975,2187,588,96,120,22,350,1599,179,397,487,536
Ulster,1976,2348,621,75,119,24,403,1727,184,368,539,636
Ulster,1977,2493,745,69,132,14,530,1748,121,400,593,634
Ulster,1978,2373,636,49,163,14,410,1737,72,421,608,636
Ulster,1979,2784,651,55,144,20,432,2133,70,570,743,750
Ulster,1980,3142,780,47,199,24,510,2362,105,576,796,885
Ulster,1981,3126,772,33,186,27,526,2354,121,632,832,769
Ulster,1982,3257,801,53,226,37,485,2456,119,708,779,850
Ulster,1983,3305,825,69,299,69,388,2480,116,1046,597,721
Ulster,1984,3333,828,56,256,59,457,2505,124,794,762,825
Ulster,1985,3465,860,62,264,48,486,2605,99,804,822,880
Ulster,1986,3659,910,42,262,82,524,2749,142,760,897,950
Ulster,1987,3775,873,86,258,108,421,2902,161,830,922,989
Ulster,1988,4177,979,98,296,120,465,3198,215,842,1001,1140
Ulster,1989,4321,1054,148,276,113,517,3267,215,813,1059,1180
Ulster,1990,4672,1153,150,282,153,568,3519,191,901,1149,1278
Ulster,1991,4617,1218,131,342,108,637,3399,154,905,1037,1303
Ulster,1992,4758,1251,162,309,114,666,3507,194,1029,953,1331
Ulster,1993,5164,1410,256,326,155,673,3754,322,999,994,1439
Ulster,1994,5035,1308,245,309,140,614,3727,412,907,930,1478
Ulster,1995,5105,1203,221,268,130,584,3902,355,875,1051,1621
Ulster,1996,5105,1253,179,327,134,613,3852,395,780,997,1680
Ulster,1997,4803,1243,198,329,146,570,3560,257,868,902,1533
Ulster,1998,5194,1258,206,287,139,626,3936,348,941,899,1748
Ulster,1999,4867,1202,202,253,142,605,3665,280,943,864,1578
Ulster,2000,4359,1043,127,225,127,564,3316,303,875,766,1372
Ulster,2001,4536,1134,183,205,115,631,3402,290,889,805,1418
Ulster,2002,4786,1257,184,279,135,659,3529,302,900,809,1518
Ulster,2003,4838,1298,193,271,113,721,3540,326,1104,738,1372
Ulster,2004,4591,1130,167,244,140,579,3461,313,1133,711,1304
Ulster,2005,4922,1237,199,265,167,606,3685,367,1353,775,1190
Ulster,2006,5020,1249,230,234,162,623,3771,482,1211,692,1386
Ulster,2007,4789,1181,243,262,143,533,3608,442,1087,709,1370
Ulster,2008,4890,1262,201,276,161,624,3628,407,1083,753,1385
Ulster,2009,5136,1228,176,250,153,649,3908,372,1093,942,1501
Ulster,2010,5467,1320,186,275,164,695,4147,436,1146,1146,1419
Ulster,2011,5069,1256,152,263,155,686,3813,433,969,998,1413
Ulster,2012,4893,1252,289,220,129,614,3641,508,777,940,1416
Ulster,2013,4743,1268,274,226,133,635,3475,482,794,924,1275
Ulster,2014,4712,1383,341,254,132,656,3329,564,742,938,1085
Ulster,2015,4437,1083,194,189,133,567,3354,509,776,945,1124
Ulster,2016,4281,1111,212,209,113,577,3170,577,715,759,1119
Ulster,2017,4431,1134,231,144,118,641,3297,682,720,801,1094
Warren,1970,188,92,14,10,0,68,96,61,0,4,31
Warren,1971,402,159,90,19,4,46,243,44,46,52,101
Warren,1972,641,181,31,37,1,112,460,63,130,113,154
Warren,1973,946,247,86,35,2,124,699,113,244,181,161
Warren,1974,1006,259,58,52,6,143,747,80,256,217,194
Warren,1975,1121,277,81,55,3,138,844,86,281,261,216
Warren,1976,1025,222,25,37,4,156,803,88,232,262,221
Warren,1977,1164,273,42,47,9,175,891,59,257,333,242
Warren,1978,1254,303,26,53,6,218,951,23,362,282,284
Warren,1979,1523,299,24,59,2,214,1224,28,441,361,394
Warren,1980,1512,318,28,67,8,215,1194,20,393,399,382
Warren,1981,1412,306,8,56,4,238,1106,9,318,438,341
Warren,1982,1293,263,17,78,11,157,1030,23,339,362,306
Warren,1983,1684,301,36,82,27,156,1383,44,684,365,290
Warren,1984,1771,313,14,74,9,216,1458,19,775,374,290
Warren,1985,1643,268,18,65,5,180,1375,53,637,359,326
Warren,1986,1824,332,26,106,12,188,1492,73,589,424,406
Warren,1987,2006,298,25,79,11,183,1708,32,796,473,407
Warren,1988,2050,399,21,126,29,223,1651,34,565,518,534
Warren,1989,2207,409,24,122,27,236,1798,36,589,573,600
Warren,1990,2184,438,8,121,48,261,1746,16,479,606,645
Warren,1991,2173,391,18,124,28,221,1782,21,478,652,631
Warren,1992,2228,377,7,123,22,225,1851,13,533,584,721
Warren,1993,2197,415,13,131,39,232,1782,9,453,492,828
Warren,1994,2172,387,24,115,38,210,1785,43,473,457,812
Warren,1995,2050,476,29,131,45,271,1574,25,380,401,768
Warren,1996,2209,497,39,113,65,280,1712,24,336,496,856
Warren,1997,2102,559,23,119,48,369,1543,19,342,420,762
Warren,1998,2184,557,34,113,69,341,1627,20,386,461,760
Warren,1999,2055,494,21,83,86,304,1561,25,415,375,746
Warren,2000,2178,549,45,120,69,315,1629,26,462,330,811
Warren,2001,2062,502,33,115,62,292,1560,38,471,320,731
Warren,2002,2311,534,50,88,74,322,1777,69,537,412,759
Warren,2003,2360,540,47,115,57,321,1820,66,537,445,772
Warren,2004,2228,490,43,99,54,294,1738,66,507,414,751
Warren,2005,2149,509,48,108,80,273,1640,76,508,369,687
Warren,2006,2324,615,48,121,80,366,1709,90,505,333,781
Warren,2007,2360,561,50,92,87,332,1799,107,600,393,699
Warren,2008,2369,605,103,108,77,317,1764,136,458,465,705
Warren,2009,2327,565,89,87,71,318,1762,105,412,512,733
Warren,2010,2275,565,62,98,75,330,1710,122,356,536,696
Warren,2011,2066,525,72,106,51,296,1541,132,301,486,622
Warren,2012,2038,519,84,96,69,270,1519,92,338,554,535
Warren,2013,1877,444,63,76,56,249,1433,137,282,497,517
Warren,2014,1714,447,92,73,46,236,1267,105,268,450,444
Warren,2015,1725,482,70,72,54,286,1243,125,258,413,447
Warren,2016,1824,471,85,79,40,267,1353,140,246,574,393
Warren,2017,1840,511,85,101,32,293,1329,190,262,473,404
Washington,1970,89,63,11,12,1,39,26,6,1,6,13
Washington,1971,200,75,18,11,0,46,125,28,17,34,46
Washington,1972,401,102,19,16,2,65,299,38,76,67,118
Washington,1973,573,139,35,15,3,86,434,86,74,111,163
Washington,1974,641,181,44,33,4,100,460,60,123,109,168
Washington,1975,718,188,41,23,3,121,530,73,128,112,217
Washington,1976,702,177,24,28,4,121,525,41,151,152,181
Washington,1977,723,163,25,38,15,85,560,32,183,158,187
Washington,1978,728,162,1,33,11,117,566,16,218,141,191
Washington,1979,819,192,19,42,16,115,627,11,196,188,232
Washington,1980,1066,238,3,66,29,140,828,18,262,238,310
Washington,1981,869,243,5,55,19,164,626,13,208,176,229
Washington,1982,901,201,4,66,18,113,700,8,250,187,255
Washington,1983,1065,262,20,51,37,154,803,12,323,195,273
Washington,1984,1086,217,8,56,40,113,869,18,404,164,283
Washington,1985,1123,225,4,60,42,119,898,7,432,180,279
Washington,1986,1115,251,8,67,42,134,864,26,350,180,308
Washington,1987,1311,261,6,70,44,141,1050,11,508,216,315
Washington,1988,1181,194,1,51,36,106,987,11,448,224,304
Washington,1989,1459,294,28,87,34,145,1165,19,506,272,368
Washington,1990,1587,264,14,72,36,142,1323,12,536,345,430
Washington,1991,1637,288,15,102,19,152,1349,17,445,329,558
Washington,1992,1477,264,16,102,31,115,1213,15,375,315,508
Washington,1993,1555,281,10,80,33,158,1274,15,435,291,533
Washington,1994,1377,240,20,72,23,125,1137,10,378,228,521
Washington,1995,1620,287,19,76,46,146,1333,21,457,277,578
Washington,1996,1596,326,23,82,42,179,1270,13,403,245,609
Washington,1997,1574,350,38,82,46,184,1224,27,366,272,559
Washington,1998,1587,367,24,86,46,211,1220,16,394,217,593
Washington,1999,1500,365,26,94,39,206,1135,19,367,221,528
Washington,2000,1415,363,27,93,49,194,1052,20,307,238,487
Washington,2001,1462,354,39,71,59,185,1108,36,359,194,519
Washington,2002,1377,326,25,73,39,189,1051,30,304,181,536
Washington,2003,1439,283,30,53,29,171,1156,35,333,214,574
Washington,2004,1477,375,55,68,46,206,1102,37,326,182,557
Washington,2005,1396,327,35,81,38,173,1069,47,315,194,513
Washington,2006,1498,413,52,82,43,236,1085,57,285,192,551
Washington,2007,1360,328,29,81,37,181,1032,28,217,198,589
Washington,2008,1368,350,26,75,40,209,1018,38,241,224,515
Washington,2009,1358,350,34,54,44,218,1008,41,239,184,544
Washington,2010,1366,389,50,93,38,208,977,48,229,195,505
Washington,2011,1234,319,32,57,43,187,915,57,212,176,470
Washington,2012,1316,371,48,65,33,225,945,54,217,219,455
Washington,2013,1235,342,50,89,21,182,893,84,182,202,425
Washington,2014,1270,342,56,62,25,199,928,99,191,205,433
Washington,2015,1246,342,55,53,40,194,904,128,212,177,387
Washington,2016,1214,283,54,61,22,146,931,132,203,170,426
Washington,2017,1241,369,45,53,48,223,872,155,197,179,341
Wayne,1970,370,181,28,45,2,106,189,28,38,29,94
Wayne,1971,612,238,65,39,2,132,374,59,81,96,138
Wayne,1972,936,195,21,41,17,116,741,62,247,130,302
Wayne,1973,1140,213,34,29,14,136,927,94,304,199,330
Wayne,1974,1262,260,33,59,11,157,1002,80,345,226,351
Wayne,1975,1505,299,50,68,3,178,1206,115,358,296,437
Wayne,1976,1765,305,68,40,8,189,1460,116,577,269,498
Wayne,1977,1815,356,21,71,14,250,1459,76,538,332,513
Wayne,1978,1724,253,5,50,17,181,1471,20,640,367,444
Wayne,1979,1826,294,7,62,21,204,1532,33,595,415,489
Wayne,1980,2145,371,18,89,28,236,1774,66,748,438,522
Wayne,1981,2461,364,15,97,35,217,2097,71,981,508,537
Wayne,1982,2363,363,14,98,56,195,2000,47,937,483,533
Wayne,1983,2469,367,9,123,77,158,2102,38,1023,464,577
Wayne,1984,2369,343,17,108,31,187,2026,43,843,466,674
Wayne,1985,2519,398,21,107,27,243,2121,57,733,504,827
Wayne,1986,2490,405,27,100,31,247,2085,57,668,541,819
Wayne,1987,2443,361,27,93,26,215,2082,52,603,565,862
Wayne,1988,2586,365,36,91,29,209,2221,51,621,642,907
Wayne,1989,2675,443,86,79,44,234,2232,74,604,585,969
Wayne,1990,2680,392,34,80,48,230,2288,35,626,667,960
Wayne,1991,2663,465,52,99,55,259,2198,53,509,610,1026
Wayne,1992,2705,557,71,99,68,319,2148,66,373,613,1096
Wayne,1993,2620,525,57,113,79,276,2095,74,363,610,1048
Wayne,1994,2666,590,82,130,77,301,2076,69,340,584,1083
Wayne,1995,2876,605,66,133,120,286,2271,108,358,694,1111
Wayne,1996,2859,628,117,116,115,280,2231,137,383,617,1094
Wayne,1997,2563,568,67,104,108,289,1995,89,331,546,1029
Wayne,1998,2464,605,90,111,85,319,1859,102,312,474,971
Wayne,1999,2182,490,52,88,82,268,1692,71,303,463,855
Wayne,2000,2439,550,58,78,119,295,1889,95,385,527,882
