Epoch,gpu_mem,GIoU,obj,cls,total,targets,img_size,P,R,mAP@0.5,F1,Val GIoU,Val objectness,Val classification,model,n_images
111/299,10.4G,1.28,1.77,0.123,3.17,159,576,0.682,0.975,0.93,0.801,1.08,1.32,0.054,YOLO v3,500
112/299,10.4G,1.3,1.95,0.14,3.4,154,544,0.687,0.964,0.928,0.801,1.05,1.3,0.0702,YOLO v3,500
113/299,10.4G,1.26,1.87,0.139,3.27,163,416,0.688,0.967,0.931,0.803,1.01,1.28,0.0561,YOLO v3,500
114/299,10.4G,1.27,2,0.156,3.42,140,384,0.701,0.969,0.934,0.812,1.01,1.26,0.077,YOLO v3,500
115/299,10.4G,1.27,1.72,0.164,3.16,158,640,0.695,0.975,0.935,0.809,1.02,1.26,0.0544,YOLO v3,500
116/299,10.4G,1.25,1.82,0.149,3.22,152,384,0.686,0.976,0.931,0.805,1,1.26,0.0709,YOLO v3,500
117/299,10.4G,1.21,1.84,0.117,3.17,164,512,0.679,0.979,0.934,0.801,1,1.27,0.061,YOLO v3,500
118/299,10.4G,1.27,2.05,0.124,3.44,123,608,0.742,0.963,0.941,0.837,1.02,1.25,0.062,YOLO v3,500
119/299,10.4G,1.28,1.91,0.147,3.34,163,320,0.696,0.975,0.935,0.81,1.04,1.26,0.0393,YOLO v3,500
120/299,10.4G,1.26,1.95,0.143,3.35,153,448,0.703,0.961,0.924,0.81,1.02,1.31,0.0642,YOLO v3,500
121/299,10.4G,1.24,1.96,0.123,3.33,147,608,0.7,0.966,0.93,0.811,1.04,1.29,0.062,YOLO v3,500
122/299,10.4G,1.25,1.81,0.158,3.21,154,480,0.711,0.971,0.939,0.82,1.02,1.24,0.0558,YOLO v3,500
123/299,10.4G,1.24,1.87,0.126,3.23,148,416,0.719,0.967,0.932,0.824,1,1.26,0.0634,YOLO v3,500
124/299,10.4G,1.24,1.84,0.136,3.22,140,416,0.697,0.973,0.933,0.811,0.984,1.27,0.0593,YOLO v3,500
125/299,10.4G,1.23,1.91,0.132,3.27,153,576,0.751,0.961,0.938,0.843,0.998,1.26,0.0658,YOLO v3,500
126/299,10.4G,1.21,1.63,0.142,2.98,158,608,0.742,0.97,0.941,0.84,0.978,1.24,0.0564,YOLO v3,500
127/299,10.4G,1.21,1.89,0.158,3.26,148,640,0.73,0.969,0.937,0.832,0.974,1.24,0.0488,YOLO v3,500
128/299,10.4G,1.2,1.89,0.152,3.24,151,352,0.707,0.969,0.934,0.816,0.96,1.23,0.041,YOLO v3,500
129/299,10.4G,1.21,1.79,0.116,3.11,177,608,0.66,0.971,0.928,0.784,0.966,1.28,0.0523,YOLO v3,500
130/299,10.4G,1.21,1.86,0.115,3.19,144,352,0.74,0.973,0.938,0.84,0.981,1.23,0.0713,YOLO v3,500
131/299,10.4G,1.21,1.81,0.139,3.16,138,640,0.721,0.972,0.937,0.827,0.941,1.26,0.0471,YOLO v3,500
132/299,10.4G,1.21,1.9,0.148,3.25,148,320,0.722,0.97,0.941,0.825,0.97,1.27,0.0611,YOLO v3,500
133/299,10.4G,1.2,1.94,0.109,3.25,123,448,0.749,0.965,0.937,0.842,0.984,1.23,0.0378,YOLO v3,500
134/299,10.4G,1.17,1.64,0.115,2.92,121,544,0.748,0.97,0.946,0.844,0.952,1.21,0.0401,YOLO v3,500
135/299,10.4G,1.19,1.78,0.15,3.12,123,448,0.695,0.969,0.936,0.806,0.948,1.25,0.0735,YOLO v3,500
136/299,10.4G,1.17,1.89,0.151,3.22,144,416,0.705,0.965,0.936,0.813,0.98,1.26,0.0593,YOLO v3,500
137/299,10.4G,1.17,1.72,0.118,3.01,132,640,0.719,0.972,0.944,0.826,0.952,1.25,0.0424,YOLO v3,500
138/299,10.4G,1.18,1.9,0.115,3.2,155,480,0.744,0.969,0.94,0.84,0.977,1.24,0.0653,YOLO v3,500
139/299,10.4G,1.18,1.97,0.111,3.26,155,320,0.72,0.969,0.941,0.825,0.979,1.22,0.0565,YOLO v3,500
140/299,10.4G,1.16,1.99,0.115,3.27,153,512,0.727,0.96,0.936,0.826,0.978,1.23,0.0718,YOLO v3,500
141/299,10.4G,1.16,1.64,0.0957,2.9,131,448,0.729,0.971,0.946,0.833,0.971,1.21,0.0278,YOLO v3,500
142/299,10.4G,1.16,1.87,0.0977,3.13,165,320,0.72,0.971,0.94,0.825,0.952,1.24,0.0413,YOLO v3,500
143/299,10.4G,1.13,1.76,0.122,3.02,182,576,0.707,0.973,0.934,0.815,0.961,1.24,0.0694,YOLO v3,500
144/299,10.4G,1.15,1.75,0.108,3.01,157,576,0.724,0.968,0.938,0.828,0.967,1.25,0.0514,YOLO v3,500
145/299,10.4G,1.13,1.63,0.0978,2.86,149,320,0.729,0.968,0.947,0.83,0.938,1.21,0.0487,YOLO v3,500
146/299,10.4G,1.15,1.88,0.114,3.14,128,320,0.731,0.97,0.94,0.832,0.961,1.22,0.0452,YOLO v3,500
147/299,10.4G,1.15,1.73,0.125,3,138,320,0.76,0.972,0.945,0.852,0.948,1.21,0.0412,YOLO v3,500
148/299,10.4G,1.15,1.97,0.0976,3.22,166,320,0.723,0.972,0.939,0.828,1,1.26,0.035,YOLO v3,500
149/299,10.4G,1.17,2.1,0.108,3.38,154,512,0.761,0.96,0.941,0.848,1.02,1.24,0.0366,YOLO v3,500
150/299,10.4G,1.11,1.76,0.115,2.98,128,576,0.735,0.963,0.939,0.832,1.02,1.27,0.0463,YOLO v3,500
151/299,10.4G,1.12,1.84,0.121,3.07,173,384,0.71,0.968,0.939,0.818,1.02,1.28,0.0303,YOLO v3,500
152/299,10.4G,1.12,1.77,0.131,3.02,136,352,0.719,0.971,0.942,0.825,0.981,1.22,0.0731,YOLO v3,500
153/299,10.4G,1.1,1.84,0.0852,3.02,148,480,0.734,0.968,0.944,0.834,0.967,1.22,0.0628,YOLO v3,500
154/299,10.4G,1.11,1.67,0.0872,2.87,130,448,0.747,0.974,0.947,0.844,0.962,1.2,0.0354,YOLO v3,500
155/299,10.4G,1.12,1.71,0.0802,2.91,165,352,0.745,0.971,0.948,0.842,0.923,1.18,0.0377,YOLO v3,500
156/299,10.4G,1.1,1.64,0.0947,2.83,144,640,0.755,0.971,0.949,0.849,0.91,1.17,0.0326,YOLO v3,500
157/299,10.4G,1.09,1.71,0.106,2.9,129,608,0.736,0.971,0.946,0.836,0.948,1.2,0.0364,YOLO v3,500
158/299,10.4G,1.11,1.77,0.127,3.01,154,320,0.739,0.975,0.948,0.84,0.919,1.18,0.0389,YOLO v3,500
159/299,10.4G,1.08,1.59,0.105,2.77,154,608,0.742,0.974,0.952,0.841,0.906,1.16,0.0332,YOLO v3,500
160/299,10.4G,1.07,1.58,0.0938,2.74,146,576,0.744,0.973,0.951,0.842,0.919,1.16,0.0308,YOLO v3,500
161/299,10.4G,1.08,1.8,0.0859,2.96,136,544,0.731,0.972,0.947,0.834,0.94,1.17,0.0363,YOLO v3,500
162/299,10.4G,1.1,1.72,0.0785,2.9,147,544,0.762,0.969,0.945,0.852,0.929,1.18,0.0523,YOLO v3,500
163/299,10.4G,1.03,1.61,0.0833,2.72,155,416,0.744,0.968,0.941,0.839,0.921,1.17,0.0466,YOLO v3,500
164/299,10.4G,1.07,1.7,0.0848,2.85,197,416,0.749,0.966,0.945,0.843,0.932,1.17,0.0303,YOLO v3,500
165/299,10.4G,1.05,1.77,0.0938,2.92,146,352,0.744,0.966,0.947,0.839,0.916,1.18,0.0304,YOLO v3,500
166/299,10.4G,1.06,1.59,0.098,2.74,119,384,0.725,0.973,0.945,0.831,0.901,1.18,0.0292,YOLO v3,500
167/299,10.4G,1.04,1.7,0.0897,2.83,153,544,0.743,0.973,0.948,0.841,0.921,1.18,0.0389,YOLO v3,500
168/299,10.4G,1.03,1.54,0.0749,2.64,143,640,0.781,0.967,0.952,0.864,0.893,1.15,0.0424,YOLO v3,500
169/299,10.4G,1.03,1.5,0.0896,2.62,125,480,0.767,0.972,0.951,0.857,0.879,1.14,0.0409,YOLO v3,500
170/299,10.4G,1.06,1.9,0.0989,3.06,141,480,0.764,0.96,0.95,0.85,0.939,1.18,0.051,YOLO v3,500
171/299,10.4G,1.04,1.63,0.0818,2.75,171,448,0.755,0.975,0.951,0.85,0.905,1.16,0.0421,YOLO v3,500
172/299,10.4G,1.01,1.46,0.0663,2.53,121,640,0.765,0.971,0.951,0.855,0.886,1.16,0.0372,YOLO v3,500
173/299,10.4G,1.04,1.75,0.0733,2.87,178,320,0.765,0.971,0.95,0.855,0.886,1.15,0.0393,YOLO v3,500
174/299,10.4G,1.02,1.55,0.0728,2.65,120,608,0.763,0.971,0.954,0.854,0.906,1.14,0.0342,YOLO v3,500
175/299,10.4G,1.03,1.79,0.0728,2.89,127,416,0.752,0.974,0.952,0.848,0.92,1.14,0.0277,YOLO v3,500
176/299,10.4G,1.01,1.66,0.0647,2.73,121,384,0.738,0.975,0.952,0.839,0.91,1.15,0.0236,YOLO v3,500
177/299,10.4G,1.01,1.56,0.0823,2.65,131,608,0.769,0.974,0.956,0.859,0.911,1.13,0.0483,YOLO v3,500
178/299,10.4G,1.01,1.69,0.0856,2.78,161,416,0.743,0.975,0.954,0.842,0.875,1.14,0.0373,YOLO v3,500
179/299,10.4G,0.981,1.62,0.0698,2.67,151,480,0.749,0.978,0.953,0.847,0.872,1.13,0.047,YOLO v3,500
180/299,10.4G,0.992,1.69,0.0834,2.76,116,352,0.772,0.974,0.953,0.861,0.89,1.14,0.0357,YOLO v3,500
181/299,10.4G,1.01,1.63,0.0836,2.72,127,320,0.765,0.967,0.952,0.853,0.876,1.14,0.0608,YOLO v3,500
182/299,10.4G,1.02,1.55,0.065,2.63,141,448,0.774,0.97,0.953,0.86,0.887,1.14,0.0441,YOLO v3,500
183/299,10.4G,0.999,1.66,0.0729,2.73,142,448,0.769,0.971,0.949,0.858,0.865,1.14,0.0588,YOLO v3,500
184/299,10.4G,1.03,1.75,0.0785,2.85,166,448,0.764,0.967,0.954,0.853,0.893,1.13,0.0695,YOLO v3,500
185/299,10.4G,1,1.49,0.0746,2.57,105,608,0.761,0.968,0.954,0.851,0.856,1.11,0.0395,YOLO v3,500
186/299,10.4G,0.967,1.68,0.0742,2.72,129,384,0.778,0.967,0.953,0.862,0.878,1.13,0.024,YOLO v3,500
187/299,10.4G,0.985,1.58,0.0672,2.63,152,352,0.768,0.972,0.951,0.857,0.872,1.13,0.0181,YOLO v3,500
188/299,10.4G,0.972,1.56,0.0738,2.61,183,416,0.797,0.97,0.955,0.874,0.854,1.11,0.0214,YOLO v3,500
189/299,10.4G,0.953,1.59,0.0707,2.62,164,384,0.788,0.969,0.955,0.869,0.862,1.12,0.027,YOLO v3,500
190/299,10.4G,0.975,1.58,0.0708,2.63,148,448,0.777,0.971,0.954,0.862,0.865,1.1,0.0249,YOLO v3,500
191/299,10.4G,0.928,1.49,0.0626,2.48,139,512,0.766,0.97,0.953,0.855,0.87,1.12,0.0214,YOLO v3,500
192/299,10.4G,0.95,1.55,0.0546,2.55,176,576,0.772,0.97,0.955,0.859,0.864,1.12,0.0219,YOLO v3,500
193/299,10.4G,0.973,1.5,0.0569,2.53,149,608,0.763,0.97,0.952,0.853,0.855,1.11,0.023,YOLO v3,500
194/299,10.4G,0.954,1.48,0.0581,2.5,153,352,0.765,0.971,0.953,0.855,0.843,1.1,0.0263,YOLO v3,500
195/299,10.4G,0.966,1.6,0.0717,2.64,178,480,0.752,0.973,0.954,0.848,0.843,1.12,0.0194,YOLO v3,500
196/299,10.4G,0.945,1.64,0.0814,2.66,137,320,0.766,0.971,0.955,0.855,0.85,1.12,0.0235,YOLO v3,500
197/299,10.4G,0.942,1.41,0.0521,2.41,168,384,0.8,0.966,0.96,0.874,0.854,1.08,0.0182,YOLO v3,500
198/299,10.4G,0.959,1.51,0.0653,2.54,165,608,0.787,0.97,0.959,0.869,0.884,1.08,0.0185,YOLO v3,500
199/299,10.4G,0.952,1.52,0.0598,2.53,166,640,0.785,0.971,0.959,0.867,0.858,1.09,0.0189,YOLO v3,500
200/299,10.4G,0.916,1.34,0.0594,2.31,91,608,0.754,0.972,0.958,0.848,0.824,1.08,0.0163,YOLO v3,500
201/299,10.4G,0.955,1.65,0.0623,2.66,173,320,0.76,0.974,0.957,0.853,0.835,1.1,0.0188,YOLO v3,500
202/299,10.4G,0.918,1.49,0.0492,2.45,141,352,0.778,0.976,0.959,0.865,0.85,1.06,0.0169,YOLO v3,500
203/299,10.4G,0.909,1.5,0.0651,2.47,162,480,0.8,0.971,0.958,0.877,0.835,1.06,0.0152,YOLO v3,500
204/299,10.4G,0.903,1.46,0.0499,2.41,185,480,0.785,0.972,0.955,0.868,0.824,1.08,0.0149,YOLO v3,500
205/299,10.4G,0.948,1.58,0.0507,2.58,149,448,0.787,0.968,0.955,0.867,0.843,1.09,0.0267,YOLO v3,500
206/299,10.4G,0.93,1.59,0.0603,2.58,133,480,0.769,0.97,0.956,0.857,0.846,1.08,0.0206,YOLO v3,500
207/299,10.4G,0.925,1.49,0.0561,2.47,143,544,0.772,0.971,0.956,0.859,0.833,1.07,0.0172,YOLO v3,500
208/299,10.4G,0.946,1.6,0.072,2.62,131,320,0.78,0.97,0.955,0.863,0.846,1.08,0.0225,YOLO v3,500
209/299,10.4G,0.917,1.59,0.0708,2.58,135,608,0.783,0.97,0.955,0.865,0.863,1.09,0.0184,YOLO v3,500
210/299,10.4G,0.902,1.36,0.0617,2.33,160,352,0.782,0.969,0.955,0.864,0.85,1.07,0.0198,YOLO v3,500
211/299,10.4G,0.882,1.45,0.0539,2.39,141,384,0.778,0.971,0.955,0.863,0.831,1.07,0.0161,YOLO v3,500
212/299,10.4G,0.894,1.45,0.0595,2.41,174,512,0.774,0.969,0.955,0.859,0.824,1.07,0.024,YOLO v3,500
213/299,10.4G,0.878,1.39,0.0556,2.32,173,384,0.791,0.968,0.956,0.869,0.833,1.06,0.0321,YOLO v3,500
214/299,10.4G,0.896,1.49,0.0481,2.43,130,512,0.797,0.967,0.956,0.872,0.851,1.06,0.0305,YOLO v3,500
215/299,10.4G,0.877,1.29,0.0559,2.23,172,448,0.809,0.968,0.958,0.881,0.81,1.04,0.0154,YOLO v3,500
216/299,10.4G,0.85,1.44,0.0482,2.34,134,384,0.798,0.969,0.957,0.874,0.817,1.07,0.0161,YOLO v3,500
217/299,10.4G,0.872,1.43,0.0517,2.36,130,640,0.786,0.965,0.955,0.865,0.826,1.1,0.022,YOLO v3,500
218/299,10.4G,0.882,1.49,0.053,2.43,149,320,0.79,0.97,0.957,0.87,0.81,1.07,0.0191,YOLO v3,500
219/299,10.4G,0.88,1.46,0.0532,2.4,154,352,0.789,0.973,0.958,0.871,0.812,1.06,0.0159,YOLO v3,500
220/299,10.4G,0.887,1.52,0.0424,2.45,159,576,0.785,0.973,0.957,0.868,0.835,1.07,0.0164,YOLO v3,500
221/299,10.4G,0.859,1.36,0.0473,2.27,157,320,0.789,0.971,0.956,0.87,0.813,1.08,0.0158,YOLO v3,500
222/299,10.4G,0.873,1.56,0.0425,2.47,139,544,0.798,0.967,0.956,0.873,0.828,1.09,0.0182,YOLO v3,500
223/299,10.4G,0.835,1.31,0.0331,2.18,137,416,0.789,0.97,0.955,0.869,0.81,1.08,0.0147,YOLO v3,500
224/299,10.4G,0.859,1.29,0.0423,2.19,149,448,0.787,0.971,0.955,0.868,0.796,1.08,0.0169,YOLO v3,500
225/299,10.4G,0.912,1.54,0.0732,2.52,164,448,0.798,0.969,0.957,0.873,0.797,1.08,0.0194,YOLO v3,500
226/299,10.4G,0.902,1.49,0.0667,2.46,160,352,0.796,0.97,0.957,0.873,0.788,1.07,0.0181,YOLO v3,500
227/299,10.4G,0.865,1.49,0.0536,2.41,149,352,0.791,0.971,0.956,0.871,0.803,1.09,0.0203,YOLO v3,500
228/299,10.4G,0.844,1.27,0.0445,2.16,177,608,0.797,0.971,0.959,0.874,0.792,1.06,0.0143,YOLO v3,500
229/299,10.4G,0.825,1.32,0.0491,2.2,149,416,0.807,0.971,0.959,0.881,0.786,1.05,0.0133,YOLO v3,500
230/299,10.4G,0.818,1.3,0.0534,2.17,139,448,0.808,0.97,0.958,0.881,0.787,1.07,0.0153,YOLO v3,500
231/299,10.4G,0.861,1.55,0.0498,2.46,139,608,0.799,0.969,0.958,0.875,0.79,1.08,0.0168,YOLO v3,500
232/299,10.4G,0.84,1.44,0.0398,2.32,150,320,0.811,0.969,0.959,0.882,0.804,1.07,0.0165,YOLO v3,500
233/299,10.4G,0.839,1.4,0.0335,2.28,150,544,0.824,0.97,0.961,0.89,0.804,1.05,0.0146,YOLO v3,500
234/299,10.4G,0.847,1.35,0.0388,2.24,135,352,0.816,0.971,0.963,0.886,0.795,1.03,0.0129,YOLO v3,500
235/299,10.4G,0.851,1.43,0.0435,2.32,154,448,0.805,0.973,0.961,0.88,0.812,1.04,0.0124,YOLO v3,500
236/299,10.4G,0.806,1.32,0.0576,2.19,141,448,0.802,0.973,0.961,0.878,0.791,1.04,0.0139,YOLO v3,500
237/299,10.4G,0.835,1.35,0.0418,2.23,172,448,0.807,0.974,0.962,0.882,0.795,1.03,0.0151,YOLO v3,500
238/299,10.4G,0.808,1.24,0.0503,2.1,109,448,0.809,0.972,0.963,0.882,0.775,1.02,0.0121,YOLO v3,500
239/299,10.4G,0.84,1.49,0.0479,2.38,127,352,0.812,0.97,0.962,0.883,0.795,1.03,0.0125,YOLO v3,500
240/299,10.4G,0.8,1.31,0.041,2.15,131,320,0.806,0.972,0.961,0.88,0.788,1.03,0.0129,YOLO v3,500
241/299,10.4G,0.822,1.43,0.0455,2.3,126,448,0.81,0.969,0.961,0.882,0.793,1.03,0.0141,YOLO v3,500
242/299,10.4G,0.84,1.33,0.041,2.21,177,640,0.805,0.97,0.959,0.879,0.783,1.02,0.0152,YOLO v3,500
243/299,10.4G,0.805,1.24,0.0366,2.08,140,480,0.809,0.97,0.96,0.881,0.781,1.02,0.0155,YOLO v3,500
244/299,10.4G,0.806,1.24,0.0356,2.08,129,480,0.796,0.973,0.96,0.875,0.772,1.02,0.0146,YOLO v3,500
245/299,10.4G,0.799,1.14,0.0314,1.97,135,640,0.803,0.971,0.961,0.878,0.759,1.01,0.014,YOLO v3,500
246/299,10.4G,0.844,1.41,0.0411,2.29,161,352,0.819,0.969,0.961,0.887,0.759,1,0.0151,YOLO v3,500
247/299,10.4G,0.84,1.51,0.0636,2.41,143,320,0.815,0.968,0.96,0.884,0.791,1.02,0.0183,YOLO v3,500
248/299,10.4G,0.843,1.48,0.0478,2.37,151,480,0.816,0.967,0.961,0.884,0.798,1.02,0.0176,YOLO v3,500
249/299,10.4G,0.802,1.19,0.032,2.03,120,576,0.808,0.97,0.961,0.881,0.784,1.01,0.0156,YOLO v3,500
250/299,10.4G,0.857,1.55,0.0459,2.46,165,640,0.803,0.969,0.96,0.877,0.806,1.03,0.0151,YOLO v3,500
251/299,10.4G,0.806,1.41,0.0413,2.26,125,448,0.802,0.968,0.959,0.877,0.805,1.03,0.0147,YOLO v3,500
252/299,10.4G,0.812,1.38,0.0324,2.22,171,320,0.811,0.968,0.96,0.882,0.8,1.03,0.0149,YOLO v3,500
253/299,10.4G,0.789,1.15,0.0362,1.97,138,512,0.81,0.97,0.962,0.882,0.776,1.02,0.0133,YOLO v3,500
254/299,10.4G,0.788,1.26,0.0434,2.09,142,608,0.815,0.969,0.961,0.884,0.779,1.02,0.0137,YOLO v3,500
255/299,10.4G,0.786,1.23,0.0337,2.05,128,352,0.82,0.967,0.961,0.887,0.773,1.02,0.0142,YOLO v3,500
256/299,10.4G,0.811,1.37,0.0461,2.22,124,416,0.817,0.968,0.96,0.886,0.773,1.02,0.0138,YOLO v3,500
257/299,10.4G,0.782,1.23,0.0482,2.06,137,544,0.816,0.967,0.961,0.885,0.776,1.03,0.0142,YOLO v3,500
258/299,10.4G,0.807,1.33,0.0468,2.19,159,608,0.812,0.968,0.961,0.882,0.777,1.03,0.0152,YOLO v3,500
259/299,10.4G,0.788,1.31,0.0375,2.14,163,608,0.813,0.968,0.961,0.883,0.777,1.03,0.0154,YOLO v3,500
260/299,10.4G,0.789,1.23,0.0381,2.06,130,608,0.816,0.968,0.96,0.885,0.761,1.01,0.0133,YOLO v3,500
261/299,10.4G,0.766,1.23,0.0391,2.03,166,512,0.817,0.966,0.961,0.885,0.765,1.01,0.0137,YOLO v3,500
262/299,10.4G,0.766,1.22,0.0319,2.02,139,512,0.818,0.965,0.96,0.885,0.775,1.02,0.014,YOLO v3,500
263/299,10.4G,0.795,1.3,0.0363,2.13,134,384,0.824,0.963,0.96,0.887,0.786,1.02,0.0156,YOLO v3,500
264/299,10.4G,0.777,1.25,0.035,2.06,152,480,0.822,0.963,0.96,0.886,0.786,1.02,0.0166,YOLO v3,500
265/299,10.4G,0.748,1.14,0.0336,1.92,128,640,0.822,0.966,0.961,0.887,0.778,1.01,0.015,YOLO v3,500
266/299,10.4G,0.762,1.12,0.03,1.91,154,480,0.823,0.966,0.962,0.888,0.764,1.01,0.0138,YOLO v3,500
267/299,10.4G,0.78,1.22,0.0445,2.04,128,576,0.82,0.967,0.961,0.887,0.762,1.01,0.012,YOLO v3,500
268/299,10.4G,0.773,1.21,0.029,2.01,156,384,0.821,0.968,0.96,0.888,0.757,1,0.0116,YOLO v3,500
269/299,10.4G,0.759,1.24,0.0271,2.03,173,352,0.818,0.968,0.961,0.886,0.765,1.01,0.013,YOLO v3,500
270/299,10.4G,0.784,1.29,0.0289,2.1,130,576,0.818,0.965,0.96,0.885,0.772,1.02,0.0144,YOLO v3,500
271/299,10.4G,0.766,1.21,0.0302,2.01,142,576,0.825,0.966,0.961,0.889,0.765,1.01,0.0136,YOLO v3,500
272/299,10.4G,0.762,1.2,0.0308,1.99,140,416,0.821,0.968,0.963,0.888,0.764,1,0.0129,YOLO v3,500
273/299,10.4G,0.76,1.2,0.0267,1.98,157,384,0.824,0.968,0.963,0.89,0.756,0.992,0.0135,YOLO v3,500
274/299,10.4G,0.751,1.22,0.0315,2,130,512,0.828,0.967,0.964,0.891,0.764,0.991,0.0145,YOLO v3,500
275/299,10.4G,0.754,1.15,0.0377,1.94,160,384,0.831,0.966,0.963,0.893,0.76,0.984,0.0143,YOLO v3,500
276/299,10.4G,0.746,1.07,0.0377,1.85,134,416,0.829,0.966,0.962,0.892,0.757,0.987,0.0138,YOLO v3,500
277/299,10.4G,0.804,1.49,0.035,2.33,163,512,0.828,0.964,0.962,0.891,0.773,0.995,0.0151,YOLO v3,500
278/299,10.4G,0.793,1.36,0.0424,2.19,152,640,0.832,0.964,0.962,0.892,0.793,0.999,0.0155,YOLO v3,500
279/299,10.4G,0.748,1.23,0.0232,2,158,320,0.829,0.965,0.962,0.891,0.776,0.991,0.0135,YOLO v3,500
280/299,10.4G,0.756,1.3,0.0299,2.09,141,512,0.824,0.967,0.962,0.889,0.784,1,0.0132,YOLO v3,500
281/299,10.4G,0.762,1.34,0.0389,2.14,125,416,0.826,0.966,0.962,0.89,0.782,1,0.0129,YOLO v3,500
282/299,10.4G,0.762,1.33,0.0276,2.12,113,576,0.822,0.964,0.96,0.887,0.784,1.02,0.0143,YOLO v3,500
283/299,10.4G,0.769,1.33,0.0317,2.13,122,448,0.83,0.964,0.959,0.891,0.784,1.03,0.016,YOLO v3,500
284/299,10.4G,0.746,1.2,0.0294,1.98,162,384,0.836,0.965,0.96,0.895,0.776,1.03,0.0169,YOLO v3,500
285/299,10.4G,0.743,1.17,0.0272,1.94,185,320,0.839,0.965,0.96,0.897,0.758,1.02,0.0154,YOLO v3,500
286/299,10.4G,0.738,1.19,0.0351,1.96,158,448,0.839,0.965,0.959,0.897,0.763,1.02,0.0146,YOLO v3,500
287/299,10.4G,0.796,1.37,0.0338,2.2,138,544,0.838,0.964,0.96,0.896,0.785,1.03,0.0158,YOLO v3,500
288/299,10.4G,0.757,1.27,0.0274,2.05,141,384,0.836,0.965,0.961,0.895,0.78,1.02,0.0156,YOLO v3,500
289/299,10.4G,0.759,1.22,0.0335,2.01,136,448,0.834,0.966,0.961,0.894,0.778,1.02,0.0155,YOLO v3,500
290/299,10.4G,0.747,1.18,0.0201,1.95,154,480,0.836,0.966,0.961,0.896,0.768,1.02,0.0156,YOLO v3,500
291/299,10.4G,0.764,1.19,0.0403,2,184,512,0.837,0.966,0.961,0.896,0.758,1.01,0.0156,YOLO v3,500
292/299,10.4G,0.748,1.11,0.0272,1.89,157,544,0.834,0.965,0.961,0.894,0.75,1,0.0154,YOLO v3,500
293/299,10.4G,0.731,1.18,0.0264,1.94,158,640,0.834,0.965,0.961,0.894,0.755,1,0.0151,YOLO v3,500
294/299,10.4G,0.741,1.29,0.0414,2.07,168,320,0.832,0.966,0.961,0.893,0.765,1.01,0.0148,YOLO v3,500
295/299,10.4G,0.749,1.26,0.0293,2.04,179,384,0.834,0.966,0.96,0.895,0.769,1.01,0.015,YOLO v3,500
296/299,10.4G,0.732,1.16,0.0354,1.93,160,416,0.831,0.966,0.961,0.893,0.758,1.01,0.0149,YOLO v3,500
297/299,10.4G,0.696,1.15,0.0237,1.87,145,448,0.83,0.967,0.96,0.893,0.758,1.01,0.0145,YOLO v3,500
298/299,10.4G,0.751,1.22,0.0323,2.01,162,608,0.831,0.967,0.961,0.893,0.747,1,0.0136,YOLO v3,500
299/299,10.4G,0.734,1.29,0.0315,2.06,151,352,0.83,0.967,0.961,0.893,0.759,1.01,0.0136,YOLO v3,500
0/299,10.3G,4.4,6.88,3.13,14.4,130,352,0.195,0.417,0.187,0.229,2.82,2.87,2.8,YOLO v3,1000
1/299,10.4G,3.12,4.37,2.41,9.91,140,384,0.299,0.76,0.514,0.413,3.34,2.52,1.44,YOLO v3,1000
2/299,10.4G,2.94,3.87,1.59,8.4,109,384,0.33,0.278,0.201,0.278,3.13,3.02,2.79,YOLO v3,1000
3/299,10.4G,2.76,3.99,1.31,8.06,130,608,0.531,0.497,0.495,0.51,2.6,2.65,1.33,YOLO v3,1000
4/299,10.4G,2.5,3.78,1.19,7.47,149,512,0.425,0.732,0.567,0.519,2.08,2.2,1.27,YOLO v3,1000
5/299,10.4G,2.41,3.68,1.03,7.12,135,480,0.508,0.834,0.734,0.623,1.97,2,0.583,YOLO v3,1000
6/299,10.4G,2.27,3.35,0.814,6.43,137,320,0.46,0.906,0.768,0.605,1.84,2.02,0.381,YOLO v3,1000
7/299,10.4G,2.24,3.38,0.818,6.44,136,640,0.482,0.879,0.761,0.621,1.94,1.95,0.398,YOLO v3,1000
8/299,10.4G,2.19,3.48,0.733,6.4,136,352,0.481,0.869,0.746,0.605,1.81,2.04,0.586,YOLO v3,1000
9/299,10.4G,2.16,3.17,0.708,6.04,156,512,0.415,0.908,0.749,0.567,1.68,1.99,0.464,YOLO v3,1000
10/299,10.4G,2.12,3.58,0.623,6.33,166,416,0.545,0.892,0.802,0.675,1.67,1.79,0.338,YOLO v3,1000
11/299,10.4G,2.01,3.23,0.55,5.8,127,576,0.472,0.926,0.79,0.625,1.61,1.95,0.241,YOLO v3,1000
12/299,10.4G,1.98,2.98,0.543,5.51,117,544,0.468,0.847,0.733,0.577,1.64,1.95,0.904,YOLO v3,1000
13/299,10.4G,1.98,3.11,0.596,5.69,143,576,0.555,0.875,0.809,0.675,1.56,1.8,0.327,YOLO v3,1000
14/299,10.4G,1.96,2.78,0.462,5.2,149,640,0.578,0.938,0.852,0.712,1.52,1.68,0.216,YOLO v3,1000
15/299,10.4G,1.93,3.06,0.564,5.55,152,480,0.546,0.93,0.838,0.681,1.56,1.73,0.357,YOLO v3,1000
16/299,10.4G,1.91,2.84,0.488,5.23,154,480,0.505,0.944,0.83,0.655,1.49,1.78,0.266,YOLO v3,1000
